  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      32       0  hru0032        0.000       0.000       3.849      -6.930          111.777           19.672            0.000            0.000           40.941          -27.909            7.015            4.711            1.375           39.032            9.829          113.571           19.687            0.000            0.000
   366    12    31  2020      33       0  hru0033        0.000       0.000      -8.945     -11.376          111.777           19.672            0.000            0.154           16.357           -6.479            2.830            4.602            2.337           39.032            9.829          167.305           32.304            0.000            0.000
   366    12    31  2020      34       0  hru0034        0.000       0.000      -7.714     -10.558          111.777           19.672            0.000            1.520           17.488           -7.197            3.015            4.669            1.897           39.032            9.829          165.973           29.696            0.000            0.000
   366    12    31  2020      35       0  hru0035        0.000       0.000       2.836      -6.505          111.777           19.672            0.000            9.396           18.311          -10.929            3.137            4.320            1.024           39.032            9.829           91.377           14.290            0.000            0.000
   366    12    31  2020      36       0  hru0036        0.000       0.000      -3.198      -7.296           97.167           19.686            0.000            0.212            8.297           -2.763            1.430            2.835            1.194           39.032            9.829          128.672           21.819            0.000            0.000
   366    12    31  2020      37       0  hru0037        0.000       0.000      -3.826      -8.389           97.167           19.686            0.000            1.324           16.697           -7.983            2.862            3.966            1.325           39.032            9.829          153.180           24.439            0.000            0.000
   366    12    31  2020      38       0  hru0038        0.000       0.000      -5.712      -6.436            0.000            0.000            0.000            1.278           14.988           -3.132            2.527           46.784            6.111           39.040            9.831           91.879           12.010            0.000            0.000
   366    12    31  2020      39       0  hru0039        0.000       0.000      -5.398      -7.176          107.527           21.034            0.000            0.563           13.868           -5.617            2.390            7.195            2.198           39.032            9.829          167.162           27.663            0.000            0.000
   366    12    31  2020      40       0  hru0040        0.000       0.000     -24.712     -21.510          219.100            0.000            0.000            1.601           12.171           -9.501            2.083            0.431            0.046           39.001            9.820          249.855           28.383            0.000            0.000
   366    12    31  2020      41       0  hru0041        0.000       0.000      -6.005      -6.310            0.000            0.000            0.000            1.087           14.202           -2.239            2.391           47.613            6.222           39.040            9.831           93.100           12.203            0.000            0.000
