  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      32       0  hru0032        0.000       0.000       2.135      -7.552          111.777           19.672            0.000            0.000           23.644          -14.701            4.058            4.390            1.350           39.032            9.829          111.106           19.508            0.000            0.000
   366    12    31  2020      33       0  hru0033        0.000       0.000      -9.226     -11.590          111.777           19.672            0.000            0.062           10.849           -2.398            1.891            4.208            2.305           39.032            9.829          162.631           31.862            0.000            0.000
   366    12    31  2020      34       0  hru0034        0.000       0.000      -8.030     -10.731          111.777           19.672            0.000            0.627           11.467           -2.783            1.988            4.225            1.869           39.032            9.829          161.431           29.376            0.000            0.000
   366    12    31  2020      35       0  hru0035        0.000       0.000       2.512      -7.062          111.777           19.672            0.000            4.598           11.710           -5.923            2.011            4.211            1.018           39.032            9.829           90.059           14.196            0.000            0.000
   366    12    31  2020      36       0  hru0036        0.000       0.000      -2.994      -7.697           97.167           19.686            0.000            0.095            5.821           -0.828            1.007            2.782            1.187           39.032            9.829          127.395           21.687            0.000            0.000
   366    12    31  2020      37       0  hru0037        0.000       0.000      -4.181      -8.581           97.167           19.686            0.000            0.532           10.965           -3.663            1.883            3.699            1.309           39.032            9.829          149.188           24.163            0.000            0.000
   366    12    31  2020      38       0  hru0038        0.000       0.000      -5.770      -6.587            0.000            0.000            0.000            0.523           10.127            0.267            1.697           44.625            5.847           39.040            9.831           87.647           11.492            0.000            0.000
   366    12    31  2020      39       0  hru0039        0.000       0.000      -5.320      -7.119          107.527           21.034            0.000            0.230            9.100           -1.982            1.575            6.820            2.177           39.032            9.829          163.484           27.456            0.000            0.000
   366    12    31  2020      40       0  hru0040        0.000       0.000     -14.159     -14.029          219.100            0.000            0.000            2.148            7.697           -5.972            1.317            0.284            0.025           39.001            9.820          196.532           15.551            0.000            0.000
   366    12    31  2020      41       0  hru0041        0.000       0.000      -5.909      -6.268            0.000            0.000            0.000            0.447            9.414            1.037            1.573           45.258            5.935           39.040            9.831           88.504           11.642            0.000            0.000
   366    12    31  2020      42       0  hru0042        0.000       0.000     -19.674     -17.828          219.100            0.000            0.000            0.307            4.686           -3.650            0.802            0.168            0.016           38.992            9.818          203.365           21.413            0.000            0.000
