  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
   366    12    31  2020      32       0  hru0032        0.000       0.000       3.037     -11.178          139.722           24.591            0.000           14.113           39.052          -26.592            6.691            5.696            1.341           39.032            9.829          111.885           17.920            0.000            0.000
   366    12    31  2020      33       0  hru0033        0.000       0.000      -8.078     -12.081          139.722           24.591            0.000            0.000           16.064           -5.712            2.776            7.177            2.588           39.032            9.829          189.709           33.978            0.000            0.000
   366    12    31  2020      34       0  hru0034        0.000       0.000      -7.396     -11.364          139.722           24.591            0.000            0.000           16.903           -6.171            2.914            6.549            2.104           39.032            9.829          185.218           31.882            0.000            0.000
   366    12    31  2020      35       0  hru0035        0.000       0.000       0.183      -9.203          139.722           24.591            0.000            0.000           17.894          -10.214            3.069            4.792            1.197           39.032            9.829          105.716           16.758            0.000            0.000
   366    12    31  2020      36       0  hru0036        0.000       0.000      -1.111      -7.675          121.459           24.607            0.000            0.350            8.547           -3.106            1.469            3.484            1.153           39.032            9.829          127.919           20.234            0.000            0.000
   366    12    31  2020      37       0  hru0037        0.000       0.000      -3.599      -9.109          121.459           24.607            0.000            0.000           15.942           -6.624            2.732            7.043            1.549           39.032            9.829          176.436           25.902            0.000            0.000
   366    12    31  2020      38       0  hru0038        0.000       0.000      -6.313      -7.606            0.000            0.000            0.000            1.160           15.023           -3.853            2.538           43.050            5.629           39.040            9.831           84.533           11.061            0.000            0.000
   366    12    31  2020      39       0  hru0039        0.000       0.000      -3.205      -6.687          134.408           26.292            0.000            0.845           14.188           -5.264            2.438           11.256            2.372           39.032            9.829          192.299           28.221            0.000            0.000
   366    12    31  2020      40       0  hru0040        0.000       0.000     -23.696     -21.503          273.874            0.000            0.000            4.338           12.285           -9.576            2.102            0.423            0.044           39.001            9.820          258.414           28.102            0.000            0.000
   366    12    31  2020      41       0  hru0041        0.000       0.000      -6.328      -7.304            0.000            0.000            0.000            1.035           14.155           -2.847            2.388           44.270            5.787           39.040            9.831           86.521           11.347            0.000            0.000
   366    12    31  2020      42       0  hru0042        0.000       0.000     -18.614     -17.108          273.874            0.000            0.000            1.342            6.914           -5.392            1.183            0.163            0.015           38.992            9.818          205.043           21.391            0.000            0.000
   366    12    31  2020      43       0  hru0043        0.000       0.000     -11.590     -10.936          168.556           17.636            0.000            1.572           13.493           -7.255            2.309            8.275            1.295           38.992            9.818          211.164           32.001            0.000            0.000
   366    12    31  2020      44       0  hru0044        0.000       0.000      -4.205      -8.551          188.692           57.555            0.000            1.596           17.898           12.529            3.261            8.420            2.026           38.949            9.806          169.566           30.596            0.000            0.000
   366    12    31  2020      45       0  hru0045        0.000       0.000      -4.313      -3.940          284.829           87.640            0.000            0.676           17.844           17.451            3.583            0.557            0.096           38.159            9.590          230.996           47.992            0.000            0.000
   366    12    31  2020      46       0  hru0046        0.000       0.000       8.322       0.125          179.130           69.755            0.000            1.635           18.877           15.173            3.476            6.018            1.327           38.468            9.674          143.731           20.930            0.000            0.000
   366    12    31  2020      47       0  hru0047        0.000       0.000      -8.911     -10.374          142.415           43.820            0.000            1.289           18.713            5.306            3.470           16.701            2.301           38.468            9.674          136.595           27.471            0.000            0.000
   366    12    31  2020      48       0  hru0048        0.000       0.000       5.230      -5.974          179.130           69.755            0.000            0.000           19.782           14.865            3.626            4.333            1.274           38.659            9.727          160.419           23.302            0.000            0.000
   366    12    31  2020      49       0  hru0049        0.000       0.000     -12.441     -52.867          202.207           58.800            0.000            0.992           20.292           -2.520            3.625            3.000            1.502           38.430            9.664          103.648           19.757            0.000            0.000
   366    12    31  2020      50       0  hru0050        0.000       0.000     -54.736     -98.848          202.207           58.800            0.000            1.667           15.101           13.183            2.893            7.174            2.112           38.525            9.690          148.088           25.139            0.000            0.000
   366    12    31  2020      51       0  hru0051        0.000       0.000     -49.012     -92.719          186.479           55.273            0.000            0.446           13.912           14.412            2.711            5.800            1.829           38.525            9.690          170.474           27.040            0.000            0.000
   366    12    31  2020      52       0  hru0052        0.000       0.000     -30.692     -63.361          186.479           55.273            0.000            0.000           10.660           17.072            2.079            5.059            1.945           38.559            9.699          176.199           28.504            0.000            0.000
   366    12    31  2020      53       0  hru0053        0.000       0.000     -31.105     -58.854          137.426           27.520            0.000            3.343           14.874           -6.479            2.563            8.784            2.156           38.543            9.695          189.938           30.432            0.000            0.000
   366    12    31  2020      54       0  hru0054        0.000       0.000     -48.271     -58.071          129.964           18.026            0.000            0.902           12.826           -5.203            2.219            6.750            1.955           38.542            9.695          184.247           38.041            0.000            0.000
   366    12    31  2020      55       0  hru0055        0.000       0.000     -29.536     -57.864          140.884           28.832            0.000            0.000           18.456           -7.312            3.161           13.892            2.480           38.751            9.752          198.004           31.324            0.000            0.000
   366    12    31  2020      56       0  hru0056        0.000       0.000     -30.277     -57.979          144.340           25.263            0.000            0.000           18.131           -5.496            3.098           18.277            3.014           38.751            9.752          214.774           29.951            0.000            0.000
   366    12    31  2020      57       0  hru0057        0.000       0.000     -32.933     -59.040           91.291            0.000            0.000            0.000           20.173          -11.626            3.437           35.188            3.173           38.751            9.752           99.748           12.261            0.000            0.000
   366    12    31  2020      58       0  hru0058        0.000       0.000     -42.372     -63.126          164.215           13.976            0.000            0.000           17.161           -8.352            2.942            5.830            1.762           38.751            9.752          217.934           37.800            0.000            0.000
   366    12    31  2020      59       0  hru0059        0.000       0.000     -27.876     -57.521          132.554           28.010            0.000            0.000           18.993           -8.129            3.246           12.050            1.768           38.751            9.752          189.631           25.860            0.000            0.000
   366    12    31  2020      60       0  hru0060        0.000       0.000     -30.983     -57.996          133.722           28.209            0.000            0.000           17.810           -6.518            3.057           14.140            3.079           38.751            9.752          198.603           34.191            0.000            0.000
   366    12    31  2020      61       0  hru0061        0.000       0.000     -35.013     -61.799          171.094           23.362            0.000            0.000           17.238           -6.022            2.951           20.575            3.521           38.751            9.752          239.570           37.167            0.000            0.000
   366    12    31  2020      62       0  hru0062        0.000       0.000     -29.757     -56.463            0.000            0.000            0.000            0.000           35.435          -25.062            6.056           27.944            3.230           38.751            9.752           53.553            6.231            0.000            0.000
   366    12    31  2020      63       0  hru0063        0.000       0.000     -32.978     -59.499          137.873           24.234            0.000            0.000           17.682           -8.400            3.027            8.739            1.663           38.751            9.752          201.604           31.560            0.000            0.000
   366    12    31  2020      64       0  hru0064        0.000       0.000     -26.186     -42.471            0.000            0.000            0.000            2.516           15.239           -3.303            2.569           43.462            5.685           38.751            9.752           85.153           11.142            0.000            0.000
   366    12    31  2020      65       0  hru0065        0.000       0.000     -28.879     -62.280          127.929           33.487            0.000            0.000           17.215           -7.460            2.941            5.465            1.374           38.751            9.752          186.707           28.142            0.000            0.000
   366    12    31  2020      66       0  hru0066        0.000       0.000     -24.782     -42.220          144.340           25.263            0.000            0.795           14.197           -3.024            2.440            8.050            2.541           38.751            9.752          204.174           32.852            0.000            0.000
   366    12    31  2020      67       0  hru0067        0.000       0.000     -29.959     -57.490          144.340           25.470            0.000            0.000           18.177           -5.308            3.102           19.604            3.151           38.880            9.787          214.501           30.077            0.000            0.000
   366    12    31  2020      68       0  hru0068        0.000       0.000     -57.274     -69.984          228.229            0.000            0.000            0.000           18.867          -13.096            3.221           12.388            1.153           38.751            9.752          254.541           47.460            0.000            0.000
   366    12    31  2020      69       0  hru0069        0.000       0.000     -15.200     -35.940          192.945           66.975            0.000            0.000           30.106            5.566            5.306            4.802            1.370           38.203            9.602          171.062           27.030            0.000            0.000
   366    12    31  2020      70       0  hru0070        0.000       0.000     -32.801     -66.718          200.960           49.546            0.000            0.074           23.635            5.723            4.234            4.808            2.012           38.611            9.713          148.498           25.169            0.000            0.000
   366    12    31  2020      71       0  hru0071        0.000       0.000     -36.522     -67.592          144.340           25.470            0.000            0.084           11.039           -1.149            1.904           11.540            2.888           38.678            9.732          195.399           30.741            0.000            0.000
   366    12    31  2020      72       0  hru0072        0.000       0.000     -48.696     -79.670          152.434           14.789            0.000            0.000           18.229          -10.407            3.122            7.084            1.565           37.712            9.467          194.096           34.244            0.000            0.000
   366    12    31  2020      73       0  hru0073        0.000       0.000     -50.252     -79.647          152.434           14.789            0.000            0.000           17.488           -9.467            3.001            6.075            1.657           37.712            9.467          202.522           36.388            0.000            0.000
   366    12    31  2020      74       0  hru0074        0.000       0.000      -8.153     -39.893          151.502           25.678            0.000            7.619           19.664          -14.383            3.361            1.825            0.186           37.712            9.467           14.210            1.565            0.000            0.000
   366    12    31  2020      75       0  hru0075        0.000       0.000     -30.594     -69.349          151.502           25.678            0.000            0.000           19.692           -9.825            3.358           13.337            1.629           37.712            9.467          154.216           19.309            0.000            0.000
   366    12    31  2020      76       0  hru0076        0.000       0.000     -32.787     -61.146          151.502           25.678            0.000            1.530           15.566           -3.952            2.663           14.564            3.019           37.712            9.467          203.427           30.444            0.000            0.000
   366    12    31  2020      77       0  hru0077        0.000       0.000     -37.731     -73.030          151.502           25.678            0.000            0.000           18.891           -6.523            3.218           17.407            2.475           37.712            9.467          208.035           27.320            0.000            0.000
   366    12    31  2020      78       0  hru0078        0.000       0.000     -37.973     -72.478          144.340           25.263            0.000            0.000           19.557           -6.524            3.330           18.006            2.623           38.751            9.752          212.508           28.634            0.000            0.000
   366    12    31  2020      79       0  hru0079        0.000       0.000     -23.944     -42.347          144.340           25.263            0.000            5.877           16.026           -6.350            2.747            8.508            2.360           38.714            9.742          146.657           24.025            0.000            0.000
   366    12    31  2020      80       0  hru0080        0.000       0.000     -41.117     -53.085          197.847           17.661            0.000            3.917           14.350           -7.223            2.463            7.802            1.973           38.714            9.742          212.090           41.997            0.000            0.000
   366    12    31  2020      81       0  hru0081        0.000       0.000     -31.853     -52.438          144.340           25.263            0.000            1.269           14.836           -3.851            2.557            9.871            3.307           38.714            9.742          196.479           33.464            0.000            0.000
   366    12    31  2020      82       0  hru0082        0.000       0.000     -44.897     -80.409          144.340           25.263            0.000            0.000           19.203           -7.172            3.299            6.662            2.398           38.559            9.699          190.988           31.074            0.000            0.000
   366    12    31  2020      83       0  hru0083        0.000       0.000     -45.159     -80.508          144.340           25.263            0.000            0.000           19.224           -7.058            3.304            7.332            2.585           38.559            9.699          191.982           31.788            0.000            0.000
   366    12    31  2020      84       0  hru0084        0.000       0.000     -37.613     -72.629          144.340           25.263            0.000            0.000           19.188           -6.626            3.275           15.405            2.516           37.712            9.467          206.738           27.542            0.000            0.000
   366    12    31  2020      85       0  hru0085        0.000       0.000     -27.086     -70.589          106.539           22.358            0.000            0.000           34.224          -24.964            5.858            3.016            0.401           37.712            9.467           53.313            7.584            0.000            0.000
   366    12    31  2020      86       0  hru0086        0.000       0.000     -37.121     -59.244          106.539           22.358            0.000            1.386           14.177           -6.811            2.446            3.203            1.587           38.559            9.699          152.959           30.816            0.000            0.000
   366    12    31  2020      87       0  hru0087        0.000       0.000     -39.598     -68.750          106.539           22.358            0.000            0.000           31.753          -19.320            5.453            3.652            1.813           37.712            9.467          177.251           34.047            0.000            0.000
   366    12    31  2020      88       0  hru0088        0.000       0.000     -33.920     -60.299          137.426           27.520            0.000            0.657           13.623           -4.905            2.351            8.696            2.645           38.421            9.661          196.926           33.531            0.000            0.000
   366    12    31  2020      89       0  hru0089        0.000       0.000     -33.605     -58.156          137.426           27.520            0.000            1.242           14.474           -6.004            2.495            7.792            2.257           38.456            9.671          187.304           31.297            0.000            0.000
   366    12    31  2020      90       0  hru0090        0.000       0.000     -33.518     -60.244          137.426           27.520            0.000            0.610           13.625           -4.896            2.351            9.052            2.585           38.421            9.661          197.710           33.018            0.000            0.000
   366    12    31  2020      91       0  hru0091        0.000       0.000     -27.394     -76.711          137.426           27.520            0.000            0.000           34.953          -25.220            5.980            3.783            0.596           38.421            9.661           68.334            8.943            0.000            0.000
   366    12    31  2020      92       0  hru0092        0.000       0.000     -32.768     -79.133          137.426           27.520            0.000            0.000           34.971          -24.598            5.985            5.172            0.877           38.421            9.661           99.481           13.332            0.000            0.000
   366    12    31  2020      93       0  hru0093        0.000       0.000     -26.178     -49.804          164.215           13.976            0.000            3.776           18.615          -12.227            3.188            3.739            0.801           38.559            9.699          116.730           19.052            0.000            0.000
   366    12    31  2020      94       0  hru0094        0.000       0.000     -42.324     -65.563          164.215           13.976            0.000            2.340           13.842           -5.685            2.367           12.956            2.062           38.559            9.699          219.141           34.659            0.000            0.000
   366    12    31  2020      95       0  hru0095        0.000       0.000     -42.030     -58.451          164.215           13.976            0.000            1.185           13.711           -6.083            2.356            4.349            1.765           38.559            9.699          213.880           37.766            0.000            0.000
   366    12    31  2020      96       0  hru0096        0.000       0.000     -18.053     -52.362          147.134           28.807            0.000            1.055           17.777          -10.898            3.054            4.694            1.856           38.559            9.699          133.244           24.774            0.000            0.000
   366    12    31  2020      97       0  hru0097        0.000       0.000     -37.599     -73.364          147.134           28.807            0.000            0.000           18.148           -8.975            3.107           11.784            2.435           37.712            9.467          202.546           30.342            0.000            0.000
   366    12    31  2020      98       0  hru0098        0.000       0.000     -29.518     -53.218          147.134           28.807            0.000            0.747           13.464           -5.270            2.313            9.471            2.726           38.559            9.699          205.811           34.560            0.000            0.000
   366    12    31  2020      99       0  hru0099        0.000       0.000     -19.220     -40.854          234.692            8.432            0.000            4.131           19.779          -14.897            3.382            2.919            0.502           38.559            9.699           35.759            7.480            0.000            0.000
   366    12    31  2020     100       0  hru0100        0.000       0.000     -65.495     -92.546          234.692            8.432            0.000            0.931           34.403          -23.268            5.890            6.086            1.104           38.559            9.699          299.029           54.638            0.000            0.000
   366    12    31  2020     101       0  hru0101        0.000       0.000     -58.364     -73.206          234.692            8.432            0.000            0.270           15.328           -9.016            2.629            4.550            1.138           38.559            9.699          275.227           56.891            0.000            0.000
   366    12    31  2020     102       0  hru0102        0.000       0.000     -49.064     -75.098          152.434           14.789            0.000            0.000           32.179          -20.294            5.515            6.335            1.748           37.712            9.467          218.607           36.938            0.000            0.000
   366    12    31  2020     103       0  hru0103        0.000       0.000     -33.050     -53.257          125.448           21.462            0.000            1.305           16.274           -4.110            2.790           21.607            4.836           38.714            9.742          192.783           32.203            0.000            0.000
   366    12    31  2020     104       0  hru0104        0.000       0.000     -50.267     -81.941          171.094           21.462            0.000            0.000           19.527           -8.368            3.344           10.391            2.172           37.712            9.467          200.425           33.167            0.000            0.000
   366    12    31  2020     105       0  hru0105        0.000       0.000     -37.694     -56.157          171.094           21.462            0.000            0.658           14.010           -3.645            2.406           10.025            2.492           38.559            9.699          230.785           39.514            0.000            0.000
   366    12    31  2020     106       0  hru0106        0.000       0.000     -35.587     -59.718          171.094           21.462            0.000            8.865           16.252           -9.551            2.786            4.981            1.138           38.559            9.699           94.109           16.014            0.000            0.000
   366    12    31  2020     107       0  hru0107        0.000       0.000     -31.342     -65.932          143.172           25.064            0.000            0.243            8.533            0.217            1.472            5.250            2.125           38.505            9.684          184.255           27.666            0.000            0.000
   366    12    31  2020     108       0  hru0108        0.000       0.000     -38.329     -86.546          198.173           69.589            0.000            0.000           22.132           11.032            4.015           11.414            2.717           38.413            9.659          184.723           28.440            0.000            0.000
   366    12    31  2020     109       0  hru0109        0.000       0.000     -30.694     -52.501          150.375           26.275            0.000            1.265           13.455           -5.002            2.316           10.005            2.660           38.232            9.610          204.159           35.104            0.000            0.000
   366    12    31  2020     110       0  hru0110        0.000       0.000     -34.931     -55.428            0.000            0.000            0.000            0.135           12.896           -5.487            2.196           25.454            4.471           38.232            9.610           81.324           16.727            0.000            0.000
   366    12    31  2020     111       0  hru0111        0.000       0.000     -22.954     -48.891          184.275           59.381            0.000            0.973           17.770           16.787            3.248            5.389            1.459           38.559            9.699          171.461           25.614            0.000            0.000
   366    12    31  2020     112       0  hru0112        0.000       0.000     -31.433     -77.137          201.906           62.825            0.000            0.000           23.291            1.903            4.150            1.832            0.578           38.307            9.630           68.868            9.452            0.000            0.000
